id,commentaire,classe,langue
1,Ndiyam rékk nguir yaw !,Neutre,wolof
2,Mi faamu si,Neutre,peul
3,Mi yidi fo mbaɗo,Haineux,peul
4,Espèce d'abruti !,Insultant,français
5,A jaraama !,Neutre,peul
6,Mi faamu si,Neutre,peul
7,Mi yidi fuu e no,Haineux,peul
8,C'est un mensonge pur et simple !,Neutre,français
9,Dama sa xol neexul,Haineux,wolof
10,Yawɗe hoore !,Neutre,peul
11,Wakh nga niit ñi neexul !,Haineux,wolof
12,T'es une salope !,Insultant,français
13,T'es une salope !,Insultant,français
14,Ce site est génial !,Neutre,français
15,Espèce d'abruti !,Insultant,français
16,Tu mérites la prison !,Violent,français
17,Va te faire voir !,Neutre,français
18,Mi naamno,Neutre,peul
19,Dama sa saaga,Violent,wolof
20,Togg ngir seer,Neutre,wolof
21,Ñoñ lu bees ?,Neutre,wolof
22,Je vais te tuer !,Violent,français
23,Je vais te tuer !,Violent,français
24,Mi andi e no,Neutre,peul
25,Dama sa safara di fekk,Violent,wolof
26,Mi naamno,Neutre,peul
27,Sa baay mooy dof,Insultant,wolof
28,Mi naamno,Neutre,peul
29,Mi waawi haali,Insultant,peul
30,Ñoñ lu bees ?,Neutre,wolof
31,Dama sa xol neexul,Haineux,wolof
32,Ñoñ lu bees ?,Neutre,wolof
33,Tey bi amul benn xew,Neutre,wolof
34,Mi naamno,Neutre,peul
35,T'es un idiot !,Insultant,français
36,Mi faamu si,Neutre,peul
37,Doomi toud,Insultant,wolof
38,Ce site est génial !,Neutre,français
39,Mi faamu si,Neutre,peul
40,Dama sa saaga,Violent,wolof
41,Espèce d'abruti !,Insultant,français
42,Dama sa xol neexul,Haineux,wolof
43,Dama sa xol neexul,Haineux,wolof
44,Mi faamu si,Neutre,peul
45,Togg ngir seer,Neutre,wolof
46,Togg ngir seer,Neutre,wolof
47,Je vais te tuer !,Violent,français
48,Doomi toud,Insultant,wolof
49,C'est un mensonge pur et simple !,Neutre,français
50,Mi naamno,Neutre,peul
51,Mi yidi fuu e no,Haineux,peul
52,Mi yidi fuu e no,Haineux,peul
53,Mi andi e no,Neutre,peul
54,C'est un mensonge pur et simple !,Neutre,français
55,Dama sa saaga,Violent,wolof
56,Mi yidi fo mbaɗo,Haineux,peul
57,Mi andi e no,Neutre,peul
58,Omo mi haali !,Insultant,peul
59,Tey bi amul benn xew,Neutre,wolof
60,Tu mérites la prison !,Violent,français
61,Sa baay mooy dof,Insultant,wolof
62,T'es un idiot !,Insultant,français
63,Mi faamu si,Neutre,peul
64,Ñoñ lu bees ?,Neutre,wolof
65,Dama sa safara di fekk,Violent,wolof
66,On devrait te bannir !,Violent,français
67,Mi waawi haali,Insultant,peul
68,Yawɗe hoore !,Neutre,peul
69,C'est un mensonge pur et simple !,Neutre,français
70,Dama sa xol neexul,Haineux,wolof
71,Wakh nga niit ñi neexul !,Haineux,wolof
72,Mi andi e no,Neutre,peul
73,Va te faire voir !,Neutre,français
74,Tu mérites la prison !,Violent,français
75,Ce site est génial !,Neutre,français
76,Omo mi haali !,Insultant,peul
77,Ce site est génial !,Neutre,français
78,Va te faire voir !,Neutre,français
79,Mi waawi haali,Insultant,peul
80,Mi yidi fo mbaɗo,Haineux,peul
81,Tey bi amul benn xew,Neutre,wolof
82,C'est n'importe quoi,Neutre,français
83,T'es un idiot !,Insultant,français
84,Ñoñ lu bees ?,Neutre,wolof
85,T'es un idiot !,Insultant,français
86,Dama sa xol neexul,Haineux,wolof
87,Dama sa safara di fekk,Violent,wolof
88,Ce site est génial !,Neutre,français
89,Mi yidi fuu e no,Haineux,peul
90,Dama sa safara di fekk,Violent,wolof
91,Mi yidi fuu e no,Haineux,peul
92,Ñoñ lu bees ?,Neutre,wolof
93,Wakh nga niit ñi neexul !,Haineux,wolof
94,C'est n'importe quoi,Neutre,français
95,Ndiyam rékk nguir yaw !,Neutre,wolof
96,Espèce d'abruti !,Insultant,français
97,Ñoñ lu bees ?,Neutre,wolof
98,Mi waawi haali,Insultant,peul
99,Mi waawi haali,Insultant,peul
100,On devrait te bannir !,Violent,français
101,Mi waawi haali,Insultant,peul
102,Je vais te tuer !,Violent,français
103,Dama sa saaga,Violent,wolof
104,Togg ngir seer,Neutre,wolof
105,Tu mérites la prison !,Violent,français
106,Ce site est génial !,Neutre,français
107,Mi andi e no,Neutre,peul
108,Va te faire voir !,Neutre,français
109,Tey bi amul benn xew,Neutre,wolof
110,On devrait te bannir !,Violent,français
111,Dama sa xol neexul,Haineux,wolof
112,Mi yidi fo mbaɗo,Haineux,peul
113,T'es un idiot !,Insultant,français
114,Je vais te tuer !,Violent,français
115,Dama sa saaga,Violent,wolof
116,Ce site est génial !,Neutre,français
117,Omo mi haali !,Insultant,peul
118,Mi naamno,Neutre,peul
119,Mi yidi fuu e no,Haineux,peul
120,Ñoñ lu bees ?,Neutre,wolof
121,A jaraama !,Neutre,peul
122,C'est n'importe quoi,Neutre,français
123,Dama sa saaga,Violent,wolof
124,Dama sa saaga,Violent,wolof
125,Espèce d'abruti !,Insultant,français
126,A jaraama !,Neutre,peul
127,Yawɗe hoore !,Neutre,peul
128,Sa baay mooy dof,Insultant,wolof
129,Tu mérites la prison !,Violent,français
130,Ce site est génial !,Neutre,français
131,C'est un mensonge pur et simple !,Neutre,français
132,Dama sa xol neexul,Haineux,wolof
133,Tu mérites la prison !,Violent,français
134,Doomi toud,Insultant,wolof
135,Je vais te tuer !,Violent,français
136,Tu mérites la prison !,Violent,français
137,T'es un idiot !,Insultant,français
138,Dama sa safara di fekk,Violent,wolof
139,Tu mérites la prison !,Violent,français
140,Je vais te tuer !,Violent,français
141,A jaraama !,Neutre,peul
142,Dama sa safara di fekk,Violent,wolof
143,Va te faire voir !,Neutre,français
144,Dama sa xol neexul,Haineux,wolof
145,Mi naamno,Neutre,peul
146,C'est n'importe quoi,Neutre,français
147,Mi faamu si,Neutre,peul
148,Ndiyam rékk nguir yaw !,Neutre,wolof
149,Sa baay mooy dof,Insultant,wolof
150,On devrait te bannir !,Violent,français
151,Dama sa safara di fekk,Violent,wolof
152,Ce site est génial !,Neutre,français
153,Va te faire voir !,Neutre,français
154,Togg ngir seer,Neutre,wolof
155,Tu mérites la prison !,Violent,français
156,C'est n'importe quoi,Neutre,français
157,On devrait te bannir !,Violent,français
158,Omo mi andal,Neutre,peul
159,Ñoñ lu bees ?,Neutre,wolof
160,Mi andi e no,Neutre,peul
161,Mi andi e no,Neutre,peul
162,Tu mérites la prison !,Violent,français
163,Espèce d'abruti !,Insultant,français
164,Tu mérites la prison !,Violent,français
165,Mi yidi fuu e no,Haineux,peul
166,Yawɗe hoore !,Neutre,peul
167,A jaraama !,Neutre,peul
168,Je vais te tuer !,Violent,français
169,Dama sa saaga,Violent,wolof
170,Mi waawi haali,Insultant,peul
171,Dama sa xol neexul,Haineux,wolof
172,Ñoñ lu bees ?,Neutre,wolof
173,Ndiyam rékk nguir yaw !,Neutre,wolof
174,Tu mérites la prison !,Violent,français
175,Mi waawi haali,Insultant,peul
176,Ñoñ lu bees ?,Neutre,wolof
177,Mi naamno,Neutre,peul
178,Ce site est génial !,Neutre,français
179,T'es un idiot !,Insultant,français
180,Tey bi amul benn xew,Neutre,wolof
181,A jaraama !,Neutre,peul
182,Doomi toud,Insultant,wolof
183,On devrait te bannir !,Violent,français
184,Togg ngir seer,Neutre,wolof
185,Mi naamno,Neutre,peul
186,T'es un idiot !,Insultant,français
187,Mi naamno,Neutre,peul
188,Doomi toud,Insultant,wolof
189,Mi naamno,Neutre,peul
190,T'es un idiot !,Insultant,français
191,Mi andi e no,Neutre,peul
192,Mi waawi haali,Insultant,peul
193,Va te faire voir !,Neutre,français
194,Dama sa safara di fekk,Violent,wolof
195,Tey bi amul benn xew,Neutre,wolof
196,Dama sa saaga,Violent,wolof
197,Espèce d'abruti !,Insultant,français
198,Mi naamno,Neutre,peul
199,Mi andi e no,Neutre,peul
200,Dama sa saaga,Violent,wolof
201,Va te faire voir !,Neutre,français
202,Mi faamu si,Neutre,peul
203,Ndiyam rékk nguir yaw !,Neutre,wolof
204,Omo mi andal,Neutre,peul
205,Dama sa safara di fekk,Violent,wolof
206,Mi andi e no,Neutre,peul
207,Mi yidi fuu e no,Haineux,peul
208,Ndiyam rékk nguir yaw !,Neutre,wolof
209,A jaraama !,Neutre,peul
210,Dama sa saaga,Violent,wolof
211,Mi naamno,Neutre,peul
212,Ñoñ lu bees ?,Neutre,wolof
213,T'es une salope !,Insultant,français
214,T'es un idiot !,Insultant,français
215,T'es un idiot !,Insultant,français
216,Va te faire voir !,Neutre,français
217,Mi yidi fuu e no,Haineux,peul
218,Ce site est génial !,Neutre,français
219,Ñoñ lu bees ?,Neutre,wolof
220,Doomi toud,Insultant,wolof
221,Espèce d'abruti !,Insultant,français
222,Ce site est génial !,Neutre,français
223,Wakh nga niit ñi neexul !,Haineux,wolof
224,Omo mi haali !,Insultant,peul
225,Mi yidi fuu e no,Haineux,peul
226,Sa baay mooy dof,Insultant,wolof
